City_ID,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temp(F),Wind Speed(mph)
315,oktyabrskiy,100,RU,1613174390,92,54.48,53.47,33.87,11.86
316,ziarat,99,PK,1613174612,62,30.38,67.73,38.23,0.81
317,jaruco,20,CU,1613174613,69,23.04,-82.01,78.8,3.44
318,kayes,0,ML,1613174613,15,14.0,-11.0,80.92,4.94
319,tevaitoa,65,PF,1613174250,73,-16.78,-151.5,81.81,12.82
320,kiruna,38,SE,1613174426,85,67.86,20.23,12.2,8.05
321,ashford,2,GB,1613174417,63,51.15,0.87,28.0,4.0
322,pingliang,100,CN,1613174164,65,35.54,106.69,40.26,5.21
323,faya,0,SA,1613174044,58,18.39,42.45,59.0,3.2
324,ambilobe,100,MG,1613174508,94,-13.2,49.05,73.47,2.04
325,barbate,0,ES,1613174614,93,36.19,-5.92,59.0,5.75
326,udachnyy,99,RU,1613174381,78,66.42,112.4,-21.91,1.79
327,letterkenny,100,IE,1613174615,86,54.95,-7.73,33.35,22.28
328,homer,90,US,1613174366,86,59.64,-151.55,35.01,5.19
329,gao,1,ML,1613174359,17,16.64,1.64,73.87,9.55
330,carman,100,CA,1613174615,63,49.5,-98.0,-14.8,4.61
331,murgab,0,TM,1613174616,61,37.5,61.97,44.6,6.91
332,oyama,20,JP,1613174496,93,36.3,139.8,46.0,3.44
333,punta alta,98,AR,1613174616,73,-38.88,-62.07,73.63,14.12
334,san borja,44,BO,1613174616,92,-14.82,-66.85,73.33,1.63
335,ilulissat,1,GL,1613174063,85,69.22,-51.1,3.2,5.75
336,warrnambool,46,AU,1613174161,77,-38.38,142.48,64.99,11.97
337,kununurra,50,AU,1613174136,84,-15.77,128.73,86.0,4.61
338,pevek,100,RU,1613174576,89,69.7,170.31,-20.38,5.5
339,dongsheng,100,CN,1613174618,78,39.82,109.98,28.76,3.71
340,salalah,0,OM,1613174561,40,17.02,54.09,69.8,5.75
341,baruun-urt,97,MN,1613174516,84,46.68,113.28,-5.53,5.5
342,yar-sale,100,RU,1613174618,88,66.83,70.83,-18.33,3.15
343,margherita,40,IN,1613174618,88,27.28,95.68,57.2,1.74
344,vilyuysk,100,RU,1613174619,89,63.76,121.62,-15.68,5.57
345,shaunavon,100,CA,1613174619,64,49.65,-108.42,-13.0,11.5
346,makakilo city,1,US,1613174036,53,21.35,-158.09,78.8,5.75
347,kpandu,30,GH,1613174620,79,7.0,0.29,81.61,9.51
348,tougan,0,BF,1613174620,15,13.07,-3.07,78.51,8.75
349,iberia,90,US,1613174124,93,29.95,-91.75,37.4,16.11
350,road town,20,VG,1613174387,73,18.42,-64.62,78.8,14.97
351,boueni,90,YT,1613174621,74,-12.9,45.08,84.2,8.05
352,mitsamiouli,100,KM,1613174373,80,-11.38,43.28,81.97,14.74
353,mayumba,92,GA,1613174621,85,-3.43,10.66,79.61,8.79
354,eyl,93,SO,1613174227,82,7.98,49.82,69.82,10.4
355,shar,54,KZ,1613174622,92,49.59,81.05,-4.63,1.86
356,manicore,95,BR,1613174622,94,-5.81,-61.3,76.32,0.54
357,two hills,100,CA,1613174622,92,53.72,-111.75,-4.0,4.61
358,codrington,46,AU,1613174559,62,-38.27,141.97,63.82,11.18
359,sedkyrkeshch,0,RU,1613174622,77,61.75,50.92,-11.2,6.71
360,itarema,47,BR,1613174077,80,-2.92,-39.92,80.2,12.15
361,ragama,0,ES,1613174623,93,41.0,-5.13,46.0,4.61
362,say,0,NE,1613174623,10,13.1,2.37,78.8,5.75
363,monte alegre de minas,40,BR,1613174579,88,-18.87,-48.88,68.0,12.66
364,kirakira,94,SB,1613174623,77,-10.45,161.92,83.62,11.05
365,sambava,100,MG,1613174624,89,-14.27,50.17,73.85,4.47
366,kahului,20,US,1613174127,51,20.89,-156.47,82.4,10.36
367,nanortalik,99,GL,1613174030,87,60.14,-45.24,32.83,9.84
368,vichuga,100,RU,1613174624,94,57.21,41.93,5.27,16.6
369,anadyr,74,RU,1613174525,69,64.75,177.48,-22.0,11.18
370,skibbereen,90,IE,1613174342,93,51.55,-9.27,39.2,32.21
371,amudat,31,UG,1613174625,67,1.95,34.95,68.13,4.16
372,espinosa,73,BR,1613174626,83,-14.93,-42.82,70.09,4.0
373,ziro,47,IN,1613174355,100,27.63,93.83,38.53,2.35
374,mwingi,99,KE,1613174626,86,-0.93,38.06,68.81,5.77
375,meyzieu,90,FR,1613174626,80,45.77,5.0,28.4,5.75
376,bambous virieux,40,MU,1613174517,83,-20.34,57.76,77.0,14.97
377,poum,0,NC,1613174148,71,-20.23,164.02,80.46,8.16
378,stornoway,52,GB,1613174627,56,58.21,-6.39,37.4,16.11
379,sao felix do xingu,97,BR,1613174467,94,-6.64,-51.99,74.88,1.52
